City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Bosaso,SO,80.35,clear sky,11.2842,49.1816,Red Sea Hotel
646,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
647,Havelock,US,75.16,overcast clouds,34.8791,-76.9013,Sherwood Motel
650,Canon City,US,77.14,clear sky,38.441,-105.2424,Travel Inn Motel
651,Road Town,VG,84.29,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
652,Cape Canaveral,US,83.03,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
656,Torit,SS,78.39,broken clouds,4.4133,32.5678,Diplomat Guest House
660,Chauk,MM,77.63,clear sky,20.8833,94.8167,Bo Khin Guest House
662,Cozumel,MX,86.07,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
668,San Jose,US,77.09,haze,37.3394,-121.895,The Westin San Jose
671,Singkawang,ID,77.09,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
672,Fruitville,US,84.18,scattered clouds,27.3298,-82.4576,Hampton Inn Sarasota - I-75 Bee Ridge
673,Henderson,US,80.11,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
