City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Matagami,CA,49.7502,-77.6328,51.91,50,1,11.5,clear sky
79,Chuy,UY,-33.6971,-53.4616,72.27,64,1,15.61,clear sky
80,Gikongoro,RW,-2.464,29.5739,59.4,87,83,4.61,broken clouds
81,Lebu,CL,-37.6167,-73.65,57.87,69,100,17.54,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,83.62,72,100,13.4,overcast clouds
83,Balakhninskiy,RU,58.0106,114.2769,13.05,86,100,2.17,overcast clouds
84,Coihaique,CL,-45.5752,-72.0662,57.81,66,90,6.91,light intensity shower rain
85,Bandarbeyla,SO,9.4942,50.8122,78.58,80,10,16.31,clear sky
86,Hermanus,ZA,-34.4187,19.2345,61.9,90,11,7.4,light rain
87,Ewa Beach,US,21.3156,-158.0072,79.68,74,20,4.61,few clouds
88,Tasiilaq,GL,65.6145,-37.6368,26.76,79,100,5.17,overcast clouds
89,Bandar-E Anzali,IR,37.4727,49.4622,60.01,73,100,3.44,overcast clouds
90,Hasaki,JP,35.7333,140.8333,46.8,57,0,7.63,clear sky
91,Bubaque,GW,11.2833,-15.8333,83.34,71,100,7.81,overcast clouds
92,Tual,ID,-5.6667,132.75,84.02,70,100,4.61,overcast clouds
93,Strathpeffer,GB,57.588,-4.5382,44.29,97,100,4.9,overcast clouds
94,Kloulklubed,PW,7.0419,134.2556,81.1,77,100,15.61,overcast clouds
95,Guerrero Negro,MX,27.9769,-114.0611,81.45,33,0,2.75,clear sky
96,Thompson,CA,55.7435,-97.8558,41.16,81,75,9.22,broken clouds
97,Mathbaria,BD,22.2876,89.9593,73.08,76,24,6.67,few clouds
98,Avarua,CK,-21.2078,-159.775,75.25,64,0,8.05,clear sky
99,Jishou,CN,28.3167,109.7167,54.54,93,4,1.41,light rain
100,Saravan,AM,39.7196,45.6483,36.25,81,99,2.46,overcast clouds
101,Faya,SA,18.3851,42.4509,64.51,29,94,9.46,overcast clouds
102,Phaltan,IN,17.9833,74.4333,71.62,55,100,6.73,overcast clouds
103,Torbay,CA,47.6666,-52.7314,41.58,92,90,18.41,light intensity drizzle
104,Kangaatsiaq,GL,68.3065,-53.4641,31.44,98,100,14.72,light snow
105,Banyo,CM,6.75,11.8167,70.59,75,95,3.02,overcast clouds
106,Algiers,DZ,36.7525,3.042,66.02,64,75,2.3,broken clouds
107,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,0,12.66,clear sky
108,Henties Bay,NA,-22.116,14.2845,60.85,80,0,8.19,clear sky
109,North Platte,US,41.1239,-100.7654,63.0,38,1,4.0,clear sky
110,Katsuura,JP,35.1333,140.3,54.1,70,0,8.3,clear sky
111,Komsomolskiy,UZ,40.4272,71.7189,44.02,75,4,4.61,mist
112,Fortuna,US,40.5982,-124.1573,64.42,65,20,3.0,few clouds
113,Bulgan,MN,48.8125,103.5347,30.11,74,7,1.83,clear sky
114,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,90,2.3,light snow
115,Katobu,ID,-4.9408,122.5276,75.87,90,100,3.24,overcast clouds
116,Osakarovka,KZ,50.565,72.5692,35.13,52,100,13.96,overcast clouds
117,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.02,67,100,10.2,overcast clouds
118,Aykhal,RU,66.0,111.5,-10.01,100,58,7.58,broken clouds
119,Muzhi,RU,65.3667,64.6667,17.38,79,11,18.54,few clouds
120,Panguipulli,CL,-39.6333,-72.3333,64.11,30,95,4.99,overcast clouds
121,Pevek,RU,69.7008,170.3133,-2.2,96,97,3.18,overcast clouds
122,Garowe,SO,8.4054,48.4845,73.27,66,0,16.13,clear sky
123,Saint-Augustin,CA,51.226,-58.6502,50.9,36,0,1.5,clear sky
124,Te Anau,NZ,-45.4167,167.7167,48.97,89,82,2.75,broken clouds
125,Port Macquarie,AU,-31.4333,152.9167,66.16,65,28,12.59,scattered clouds
126,Tefe,BR,-3.3542,-64.7114,89.71,70,20,3.44,few clouds
127,Georgetown,MY,5.4112,100.3354,80.89,93,40,5.01,scattered clouds
128,Aksarka,RU,66.5606,67.7975,11.61,88,100,8.81,overcast clouds
129,Baruun-Urt,MN,46.6806,113.2792,30.87,32,100,17.65,light snow
130,Russkiy Kameshkir,RU,52.8589,46.0892,37.0,81,54,6.06,light rain
131,Victoria,HK,22.2855,114.1577,78.24,88,72,1.99,light rain
132,The Valley,AI,18.217,-63.0578,87.66,65,20,13.8,few clouds
133,Kavieng,PG,-2.5744,150.7967,82.67,74,98,8.1,overcast clouds
